brand,collection,price,currency,country,life_span_date,price_before,price_difference,price_changed
Chopard,ALPINE EAGLE GSTAAD EDITION,10260,CHF,Switzerland,2021-06-30,10260.0,0,0.0
Chopard,ALPINE EAGLE GSTAAD EDITION,13300,CHF,Switzerland,2021-06-30,13300.0,0,0.0
Chopard,ALPINE EAGLE GSTAAD EDITION,16100,CHF,Switzerland,2021-06-30,16100.0,0,0.0
Chopard,ALPINE EAGLE GSTAAD EDITION,20400,CHF,Switzerland,2021-06-30,20400.0,0,0.0
Chopard,ALPINE EAGLE XL CHRONO,19200,CHF,Switzerland,2021-06-30,19200.0,0,0.0
Chopard,ALPINE EAGLE XL CHRONO,19200,CHF,Switzerland,2021-06-30,19200.0,0,0.0
Chopard,ALPINE EAGLE XL CHRONO,26800,CHF,Switzerland,2021-06-30,26800.0,0,0.0
Chopard,ALPINE EAGLE 41,43820,CHF,Switzerland,2021-06-30,43820.0,0,0.0
Chopard,ALPINE EAGLE 41,49290,CHF,Switzerland,2021-06-30,49290.0,0,0.0
Chopard,ALPINE EAGLE 41,12800,CHF,Switzerland,2021-06-30,12800.0,0,0.0
Chopard,ALPINE EAGLE 41,12800,CHF,Switzerland,2021-06-30,12800.0,0,0.0
Chopard,ALPINE EAGLE 41,19700,CHF,Switzerland,2021-06-30,19700.0,0,0.0
Chopard,ALPINE EAGLE 36,9760,CHF,Switzerland,2021-06-30,9760.0,0,0.0
Chopard,ALPINE EAGLE 36,13800,CHF,Switzerland,2021-06-30,13800.0,0,0.0
Chopard,ALPINE EAGLE 36,13900,CHF,Switzerland,2021-06-30,13900.0,0,0.0
Chopard,ALPINE EAGLE 36,15600,CHF,Switzerland,2021-06-30,15600.0,0,0.0
Chopard,ALPINE EAGLE 36,19900,CHF,Switzerland,2021-06-30,19900.0,0,0.0
Chopard,ALPINE EAGLE 36,29900,CHF,Switzerland,2021-06-30,29900.0,0,0.0
Chopard,ALPINE EAGLE 36,34500,CHF,Switzerland,2021-06-30,34500.0,0,0.0
Chopard,ALPINE EAGLE 36,45100,CHF,Switzerland,2021-06-30,45100.0,0,0.0
Chopard,HAPPY SPORT THE FIRST,9900,CHF,Switzerland,2021-06-30,9900.0,0,0.0
Chopard,HAPPY SPORT THE FIRST,17380,CHF,Switzerland,2021-06-30,17380.0,0,0.0
Chopard,HAPPY SPORT,7200,CHF,Switzerland,2021-06-30,7200.0,0,0.0
Chopard,HAPPY SPORT,8500,CHF,Switzerland,2021-06-30,8500.0,0,0.0
Chopard,HAPPY SPORT,14680,CHF,Switzerland,2021-06-30,14680.0,0,0.0
Chopard,HAPPY SPORT,15980,CHF,Switzerland,2021-06-30,15980.0,0,0.0
Chopard,HAPPY SPORT,9200,CHF,Switzerland,2021-06-30,9200.0,0,0.0
Chopard,HAPPY SPORT,13200,CHF,Switzerland,2021-06-30,13200.0,0,0.0
Chopard,HAPPY SPORT,16680,CHF,Switzerland,2021-06-30,16680.0,0,0.0
Chopard,HAPPY SPORT,20680,CHF,Switzerland,2021-06-30,20680.0,0,0.0
Chopard,HAPPY SPORT,14120,CHF,Switzerland,2021-06-30,14120.0,0,0.0
Chopard,HAPPY SPORT,21600,CHF,Switzerland,2021-06-30,21600.0,0,0.0
Chopard,HAPPY SPORT,35210,CHF,Switzerland,2021-06-30,35210.0,0,0.0
Chopard,HAPPY SPORT,15600,CHF,Switzerland,2021-06-30,15600.0,0,0.0
Chopard,HAPPY SPORT,9990,CHF,Switzerland,2021-06-30,9990.0,0,0.0
Chopard,HAPPY SPORT,9990,CHF,Switzerland,2021-06-30,9990.0,0,0.0
Chopard,HAPPY SPORT,13900,CHF,Switzerland,2021-06-30,13900.0,0,0.0
Chopard,HAPPY SPORT,9210,CHF,Switzerland,2021-06-30,9210.0,0,0.0
Chopard,HAPPY OCEAN,12300,CHF,Switzerland,2021-06-30,12300.0,0,0.0
Chopard,HAPPY SPORT,6170,CHF,Switzerland,2021-06-30,6170.0,0,0.0
Chopard,HAPPY SPORT,7470,CHF,Switzerland,2021-06-30,7470.0,0,0.0
Chopard,HAPPY SPORT,13200,CHF,Switzerland,2021-06-30,13200.0,0,0.0
Chopard,HAPPY SPORT,14400,CHF,Switzerland,2021-06-30,14400.0,0,0.0
Chopard,HAPPY SPORT,6170,CHF,Switzerland,2021-06-30,6170.0,0,0.0
Chopard,HAPPY SPORT,7470,CHF,Switzerland,2021-06-30,7470.0,0,0.0
Chopard,HAPPY SPORT,13200,CHF,Switzerland,2021-06-30,13200.0,0,0.0
Chopard,HAPPY SPORT,13700,CHF,Switzerland,2021-06-30,13700.0,0,0.0
Chopard,HAPPY SPORT,4240,CHF,Switzerland,2021-06-30,4240.0,0,0.0
Chopard,HAPPY SPORT,7400,CHF,Switzerland,2021-06-30,7400.0,0,0.0
Chopard,HAPPY SPORT,10300,CHF,Switzerland,2021-06-30,10300.0,0,0.0
Chopard,HAPPY SPORT,14300,CHF,Switzerland,2021-06-30,14300.0,0,0.0
Chopard,HAPPY SPORT,20500,CHF,Switzerland,2021-06-30,20500.0,0,0.0
Chopard,HAPPY SPORT,7230,CHF,Switzerland,2021-06-30,7230.0,0,0.0
Chopard,HAPPY SPORT,7900,CHF,Switzerland,2021-06-30,7900.0,0,0.0
Chopard,HAPPY SPORT,14200,CHF,Switzerland,2021-06-30,14200.0,0,0.0
Chopard,HAPPY SPORT,14800,CHF,Switzerland,2021-06-30,14800.0,0,0.0
Chopard,HAPPY SPORT,21100,CHF,Switzerland,2021-06-30,21100.0,0,0.0
Chopard,HAPPY HEARTS,6600,CHF,Switzerland,2021-06-30,6600.0,0,0.0
Chopard,HAPPY SPORT,8100,CHF,Switzerland,2021-06-30,8100.0,0,0.0
Chopard,"HAPPY SPORT SUN, MOON AND STARS",7900,CHF,Switzerland,2021-06-30,7900.0,0,0.0
Chopard,HAPPY SPORT,5340,CHF,Switzerland,2021-06-30,5340.0,0,0.0
Chopard,HAPPY SPORT,13000,CHF,Switzerland,2021-06-30,13000.0,0,0.0
Chopard,HAPPY SPORT,19700,CHF,Switzerland,2021-06-30,19700.0,0,0.0
Chopard,HAPPY SPORT,27800,CHF,Switzerland,2021-06-30,27800.0,0,0.0
Chopard,HAPPY SPORT,34500,CHF,Switzerland,2021-06-30,34500.0,0,0.0
Chopard,HAPPY SPORT,13500,CHF,Switzerland,2021-06-30,13500.0,0,0.0
Chopard,HAPPY SPORT,20100,CHF,Switzerland,2021-06-30,20100.0,0,0.0
Chopard,HAPPY SPORT,7920,CHF,Switzerland,2021-06-30,7920.0,0,0.0
Chopard,HAPPY SPORT,9210,CHF,Switzerland,2021-06-30,9210.0,0,0.0
Chopard,HAPPY SPORT,17600,CHF,Switzerland,2021-06-30,17600.0,0,0.0
Chopard,HAPPY SPORT,18800,CHF,Switzerland,2021-06-30,18800.0,0,0.0
Chopard,HAPPY SPORT,7920,CHF,Switzerland,2021-06-30,7920.0,0,0.0
Chopard,HAPPY SPORT,9210,CHF,Switzerland,2021-06-30,9210.0,0,0.0
Chopard,HAPPY SPORT,17600,CHF,Switzerland,2021-06-30,17600.0,0,0.0
Chopard,"HAPPY SPORT SUN, MOON AND STARS",6990,CHF,Switzerland,2021-06-30,6990.0,0,0.0
Chopard,HAPPY SNOWFLAKES,18400,CHF,Switzerland,2021-06-30,18400.0,0,0.0
Chopard,HAPPY HEARTS,6440,CHF,Switzerland,2021-06-30,6440.0,0,0.0
Chopard,HAPPY SPORT,5300,CHF,Switzerland,2021-06-30,5300.0,0,0.0
Chopard,HAPPY SPORT,6590,CHF,Switzerland,2021-06-30,6590.0,0,0.0
Chopard,HAPPY SPORT,16200,CHF,Switzerland,2021-06-30,16200.0,0,0.0
Chopard,HAPPY SPORT,9770,CHF,Switzerland,2021-06-30,9770.0,0,0.0
Chopard,HAPPY SPORT,16900,CHF,Switzerland,2021-06-30,16900.0,0,0.0
Chopard,HAPPY SPORT,19400,CHF,Switzerland,2021-06-30,19400.0,0,0.0
